编号,分类,机制/机关,适用类型,运作规则,角色性能依赖,依赖能力或参数,玩家操作或协作要求,典型出处,设计分析,合并来源,原文参考链接,出处说明
LM-001,空间通行与门禁,普通门与自动门,跨类型；动作冒险；FPS；RPG,通过交互或接近开闭，分隔相邻空间。,无,基本交互；角色碰撞尺寸,确认门状态和通过时机,《半条命》；《生化危机》；《死亡空间》,开门速度、可见范围影响进入下一空间时的信息量；避免无意义的连续等待。,关卡机制2.md #1 普通门；关卡机制2.md #7 自动门；关卡机制1.md 开门/关门,,
LM-002,空间通行与门禁,钥匙与权限门,跨类型；动作冒险；FPS；RPG,持有钥匙、卡片或访问权限后开放对应通路。,条件依赖,任务道具或权限；非跳跃等运动性能,记住锁的位置并寻找对应凭证,《生化危机》；《毁灭战士》；《杀出重围》；《Prey》,锁与钥匙应有一致标识；回程最好带来新发现或捷径，降低重复跑图成本。,关卡机制2.md #2 锁门；关卡机制2.md #3 钥匙开门；关卡机制2.md #128 门禁权限；关卡机制1.md 开门/关门；关卡机制1.md 锁钥机制,,
LM-003,空间通行与门禁,多条件门锁,跨类型；动作冒险；FPS；RPG,收集多件物品或完成多个条件后解除封锁。,无,道具或机关状态,规划多个目标的完成顺序,《DOOM》；《Quake》,适合组织并行探索；应显示已完成条件，避免最后一个目标变成盲找。,关卡机制2.md #4 多把钥匙门,,原文彩色钥匙例子不能直接证明同一扇门需要多把钥匙；具体关卡待核实。
LM-004,空间通行与门禁,单向通路,跨类型；动作冒险；FPS；RPG,落差、单向门或通行规则允许前进，但阻止原路返回。,条件依赖,落差与跳跃高度；门的方向限制,进入前判断是否还能回头,《黑暗之魂》；《战神》；《Cultic》,用于收束流程或制造承诺成本；不可逆之前应给出可识别的提示。,关卡机制2.md #5 单向门；关卡机制1.md 单向门/单向阀；关卡机制1.md 单向门/捷径,,
LM-005,空间通行与门禁,反向解锁捷径,跨类型；动作冒险；FPS；RPG,先绕路到另一侧，再解锁门、梯子或电梯，缩短后续通行。,无,基本交互；前置路线可达,辨认回环与旧区域的联系,《黑暗之魂》；《恶魔城》,奖励来自路线成本的下降；解锁时应让玩家看懂它连接了哪里。,关卡机制1.md 捷径解锁；关卡机制1.md 单向门/捷径,,
LM-006,空间通行与门禁,可透视封锁,跨类型；动作冒险；FPS；RPG,栅栏或透明障碍允许观察目标，但暂时无法通过。,无,碰撞与可交互距离,从预览目标推断入口或开关位置,《鬼泣》；《黑暗之魂》,让目标先于路线出现；需明确能否隔栏射击、拾取或触发机关。,关卡机制2.md #6 铁栅栏,,
LM-007,空间通行与门禁,拉杆与远程开关,跨类型；动作冒险；FPS；RPG,触发控制器后改变远处的门、桥或其他机关状态。,无,基本交互；部分变体需远程触发,建立开关和受控对象的对应关系,《半条命》；《塞尔达传说》,用连线、声音或镜头建立因果；远距反馈不能让玩家丢失当前位置。,关卡机制2.md #8 拉杆开门；关卡机制2.md #9 远程开门；关卡机制1.md 开关与拉杆,,
LM-008,空间通行与门禁,定时门与延时复位门,跨类型；动作冒险；FPS；RPG,触发后短暂开放，时间耗尽便关闭或复位。,是,移动速度；加速；交互耗时；碰撞尺寸,规划路线并在窗口内通过,《Portal》；《超级马里奥》,时限须按实际路线测量；失败后应能快速重启，避免把练习变成长途折返。,关卡机制2.md #10 定时门；关卡机制2.md #11 自动关闭门,,原文《Halo》《DOOM》自动关门未给具体场景；仅沿用定时通行这一规则。
LM-009,空间通行与门禁,隐藏门与假墙,跨类型；动作冒险；FPS；RPG,可通行入口伪装成墙面，需观察、交互或攻击揭示。,条件依赖,部分假墙需攻击或特定探测工具,识别不一致线索并试探,《DOOM》；《黑暗之魂》,隐藏应有可学习的线索；缺少线索时容易演变为逐墙试错。,关卡机制2.md #12 隐藏门；关卡机制2.md #13 假墙；关卡机制2.md #263 隐藏房,,
LM-010,空间通行与门禁,可破坏墙与障碍,跨类型；动作冒险；FPS；RPG,使用对应攻击或工具破坏障碍，打开通路或隐藏空间。,是,炸弹、破墙武器或指定伤害类型,识别材质和有效工具,《塞尔达传说》；《密特罗德》；《彩虹六号：围攻》,外观需提示可破坏性及所需手段；破坏后要验证导航和路线是否仍成立。,关卡机制2.md #14 可破坏墙；关卡机制2.md #137 炸弹破墙；关卡机制2.md #165 弹药类型 Gate；关卡机制2.md #185 炸药墙；关卡机制2.md #208 可摧毁障碍,,原文弹药类型门未给具体关卡，合并为工具破障条件；不保留泛武器相克。
LM-011,空间通行与门禁,固定传送点与管道入口,跨类型；动作冒险；FPS；RPG,从入口转移到预设出口，连接远隔的关卡空间。,无,入口交互或进入条件,识别出口、方向和可否返回,《超级马里奥》；《瑞奇与叮当》,可压缩无效移动；传送前后的朝向和地标要帮助玩家重新定位。,关卡机制2.md #20 传送门；关卡机制2.md #23 管道；关卡机制1.md 传送门,,仅整理固定入口；《Portal》的可放置传送门另列。
LM-012,空间通行与门禁,快速旅行节点,跨类型；动作冒险；FPS；RPG,发现或解锁节点后，可在已开放节点间跳转。,无,节点解锁与使用条件,选择合适的出发和抵达节点,《黑暗之魂》；《死亡搁浅》,适合降低重复通行成本；节点密度会直接影响路线记忆与探索价值。,关卡机制2.md #21 快速旅行点,,
LM-013,空间通行与门禁,电梯、缆车与升降运输,跨类型；动作冒险；FPS；RPG,载具或平台按预设路线运输玩家，可在站点停靠。,无,上下客碰撞尺寸；呼叫和交互规则,呼叫、登乘并辨认目的地,《生化危机》；《质量效应》；《神秘海域》,运输过程可提供空间预览；需支持错过班次、回程和召回，防止困在站点。,关卡机制2.md #16 升降台；关卡机制2.md #22 电梯；关卡机制2.md #25 缆车,,升降台中需要跳跃接驳的变体归入移动平台。
LM-014,空间通行与门禁,姿态限制通道,跨类型；动作冒险；FPS；RPG,低洞或窄缝仅容特定姿态、体型或变形后的角色通过。,是,蹲伏、滑铲或球形态；角色碰撞尺寸,选择正确姿态并判断出口风险,《密特罗德》；《生化危机》；《泰坦陨落》,用断面尺寸明确能力门槛；需要排查镜头遮挡、卡碰撞和退出空间。,关卡机制2.md #34 滑铲；关卡机制2.md #43 狭窄通道；关卡机制2.md #44 单向狭缝,,
LM-015,空间通行与门禁,身份限制区域,跨类型；动作冒险；FPS；RPG,区域按服装或身份开放通行，特定岗位仍可能识破伪装。,条件依赖,伪装物品或身份状态,理解不同区域的许可范围,《杀手》,同一张地图产生多套可行路线；身份权限必须可读，避免惩罚不可预测。,关卡机制2.md #126 伪装；关卡机制2.md #127 身份 Gate,,保留区域准入规则；不把伪装能力本身单列。
LM-016,平台与能力通路,固定跳跃平台,平台跳跃；动作冒险；类银河恶魔城,利用平台的间距、高差和面积组织跳跃路径。,是,跳跃高度与距离；空中控制；碰撞尺寸,判断起跳点和落点,《超级马里奥》系列,平台尺寸要匹配角色实际运动包络；先验证可达性，再用落点大小调整容错。,关卡机制1.md 固定平台,,
LM-017,平台与能力通路,移动与升降平台,平台跳跃；动作冒险；类银河恶魔城,平台沿路径移动，玩家需要登乘、换乘或跳离。,是,跳跃距离；角色与平台速度叠加规则,预判平台位置和相位,《超级马里奥》；《Celeste》；《密特罗德》,难度取决于运动相位与落点窗口；应验证站在平台上及离开时的惯性。,关卡机制2.md #16 升降台；关卡机制2.md #17 移动平台；关卡机制1.md 移动平台,,
